Informazioni cronologiche,Sesso,Quale è la tua fascia di età ,Vivi a Tricarico?,Hai figli?,Studi o lavori a Tricarico?,Hai (o hai mai avuto) intenzione di lasciare il paese nei prossimi anni?,Lavori o Studi da fuorisede?,Pensi che tornerai stabilmente a vivere a Tricarico?,"Quello che fai fuori*, potresti farlo a Tricarico?  
(*se lavori o studi fuori regione)","Vorresti, se potessi, tornare a vivere stabilmente a Tricarico",In che ambito lavori (o studi)?,Quali sono principalmente le ragioni per cui hai dovuto lasciare Tricarico? (scegli fino a 2 opzioni),Tricarico è un posto tranquillo per metter su famiglia,Chi lavora a Tricarico vive bene ,Tricarico è il posto dove vorrei vivere per sempre,"Tricarico offre tantissime opportunità (lavorative, sociali, di crescita)",Tricarico è un punto nevralgico della Basilicata,A Tricarico sento di poter esprimere tutto il mio potenziale,"Tricarico è (aggettivo positivo) : 
[puoi scegliere al massimo 3 opzioni]","Tricarico è (aggettivo negativo): 
[puoi scegliere al massimo 3 opzioni]","Se fossi il Sindaco della Città e avessi un'ingente somma a disposizione, su cosa investiresti subito? (scegli fino a 2 opzioni)",Quali sono secondo te i punti di forza del paese? (scegli fino a 2 opzioni),Pensi sia più importante:,Pensi sia più importante:,Pensi sia più importante:,Com'è la Tricarico che vorresti?,Come immagini Tricarico tra 10 anni?,Consigli per i candidati sindaci?
2023/05/08 6:27:26 PM CET,Donna,36-45,"No, da anni vivo altrove",,,,,,,Potrei ma non voglio farlo,Privato,Lavoro;Affinità culturale,5,3,1,1,3,1,Tranquilla;Viva;Divertente,Sporca;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Come sopra (non sono Pancrazio),"Non abbiamo il mare ma dovrebbe essere un porto. Vivibile, colorato e meno rancoroso per chi resta, accogliente, allegro e generoso per chi decide di ritornare anche solo di passaggio, a salutare. In poche parole lavorare tutti a un miglioramento ma senza cattiveria, senza pontificare da un balconcino elettorale. Le cose preziose si salvano solo con il bene.","Meno, anche meno bacchette e poi mente aperta che siamo nel 2023…da un lato vorrei far sapere che la condivisione on line dei comizi non può essere una scelta personale, ad oggi deve essere garantita la fruibilità. La piazza non è solo un luogo fisico, purtroppo è così! Stacce. Dall’ altro o dovrei dire dall’alto lato della sponda vorrei far sapere che è assolutamente inaccettabile da parte di un candidato fare certe uscite e non servono scuse, così siamo bravi tutti! Se non è omofobia è ignoranza e sinceramente l’ignoranza va allontanata e non applaudita, stacce pure tu! "
2023/05/08 6:41:53 PM CET,Donna,26-35,"Si, ogni giorno",No,Lavoro a Tricarico,"Si, ci sto pensando",,,,,,,5,5,5,4,5,3,Tranquilla;Ordinata,Sporca;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive","Comunità (relazioni sociali, stile di vita, ...);Bellezze naturali",Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Senza invidia e gelosia,Spero più popolosa e non come Calciano ,Cercare di creare un collegamento tra i cittadini e l' amministrazione per renderli partecipi e aggiornali costantemente sulla situazione  
2023/05/08 7:02:08 PM CET,Donna,36-45,"Si, ogni giorno",No,"Pensionato, disoccupato o altro a Tricarico","Si, ci sto pensando",,,,,,,3,3,1,1,5,1,Tranquilla;,Sporca;Disordinata;Divisa,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Una città coesa.,Una città civile ,Lungimiranza e onestà 
2023/05/08 7:03:50 PM CET,Donna,26-35,"Si, ogni giorno",Si,Lavoro a Tricarico,"Si, ci ho pensato ma ho cambiato idea",,,,,,,2,3,5,1,1,5,Tranquilla,Noiosa;Spenta;Divisa,"Sviluppo di attività produttive;Servizi pubblici (Ville, giardini, ecc...)",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Unita,Valorizzata ,Migliorarci 
2023/05/08 7:10:03 PM CET,Donna,26-35,"Si, ogni giorno",No,Lavoro a Tricarico,"Si, ci ho pensato ma ho cambiato idea",,,,,,,5,4,4,3,3,3,Tranquilla,Sporca;Disordinata;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Unita ,/,Non farsi guerra ma collaborare tutti insieme. Con tutte le idee che ognuno ha da offrire e cercare di metterle in atto 
2023/05/08 7:12:44 PM CET,Donna,26-35,"No, ma torno spesso",,,,Lavoro fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,4,5,1,1,3,1,Tranquilla,Sporca;Noiosa;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Viva (almeno da giugno ad agosto) e con un’identità,Desolata,"Possibilità di fare sport diversi, banalmente la corsa, andare in bici, fotografia, creare percorsi nel bosco per fare trekking. rendere le aree verdi e i boschi attrattive sia per i turisti che per i locali con aree picnic e food track con prodotti tipici nei giorni di maggiore affluenza. Una volta all’anno organizza un festival della musica e dell’arte con artisti locali e ospiti. Rivalutare il centro storico per renderlo piacevole e far sì che la gente lo fotografi e metta foto sui social. Aiutare i/le ragazzi/e nelle loro scelte future prima che lascino il paese, quindi, in collaborazione con le scuole, organizzare incontri con persone del paese che hanno trovato la loro strada nel mondo del lavoro/dell’arte o qualsiasi altro settore per scambiare consigli, e dare spunti visto che l’orientamento nelle scuole tricaricesi è pessimo."
2023/05/08 7:13:49 PM CET,Uomo,26-35,"No, da anni vivo altrove",,,,,,,Vorrei ma non potrei farlo,Privato,Lavoro,2,3,4,1,4,1,Pulita;Coesa;Viva,Sporca;Spenta;Divisa,Agricoltura;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"Senza esagerare, semplicemente com’è ad agosto, ma tutto l’anno. Con qualche turista vero in più e qualche ex residente tricaricese in ferie in meno. ","Che disastro Tricarico! Cit. 
(Spero di sbagliare)",Valorizzare le risorse già esistenti creando sinergie con comuni limitrofi ed associazioni. Impegnarsi per recuperare fondi dal PNRR per ciò che manca.  
2023/05/08 7:16:28 PM CET,Uomo,26-35,"No, ma torno spesso",,,,Lavoro fuori Regione,Si,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,5,5,5,3,5,3,Tranquilla;,Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Mi piacerebbe vederla più coesa e con meno invidia e cattiveria al suo interno
Sarebbe già un ottimo punto di partenza per un ""restauro"" sociale, economico, politico e culturale del paese  ","Il fulcro della Basilicata, in tutti i settori... perché il nostro paese ce lo permette, siamo noi a dover cambiare modo di ragionare e di agire.","Umiltà e dedizione
Ricoprire questa carica, oggi è una vera e propria missione (se l'obiettivo è il bene dell'intera comunità)"
2023/05/08 7:26:52 PM CET,Uomo,26-35,"Si, ogni giorno",Si,Lavoro altrove,"Si, ci sto pensando",,,,,,,3,2,2,1,2,1,Tranquilla,Disordinata,Sviluppo di attività produttive,"crediamo di avere tradizioni e cultura,ma non è un punto di forza",Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Un paese per giovani ,Pieno di speranze,"Di questo passo il paese, entro pochi decenni scomparirà (tra vent'anni gli abitanti potrebbero essere meno di 3000 con 1000 persone oltre i 70 anni ). Esorto ad abbandonare i ""libri dei sogni"" ed  indirizzarsi concretamente verso L'UNICA PRIORITA' : impegnarsi compiutamente per rallentare il declino e lo spopolamento."
2023/05/08 8:03:00 PM CET,Uomo,26-35,"No, da anni vivo altrove",,,,,,,Vorrei ma non potrei farlo,Privato,Lavoro,5,3,2,1,1,1,Pulita;Tranquilla,Noiosa;Spenta,Turismo/Cultura;Intrattenimento,Cultura e Tradizioni,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"Con un centro storico vivo, pieno di attività commerciali ",Con un centro storico bellissimo ,Incentivare l'apertura di locali nel centro storico. Ristrutturare via Roma 
2023/05/08 8:45:15 PM CET,Uomo,19-25,"No, ma torno spesso",,,,Studio fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,5,5,4,1,4,2,Tranquilla;Viva nelle vacanze,Spenta;Divisa,Turismo/Cultura;Intrattenimento,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Unità per il bene comune,Eh,"Provare a rispettare i punti del programma,anche quello dell'opposizione "
2023/05/08 9:34:20 PM CET,Donna,56-65,"Si, ogni giorno",Si,"Pensionato, disoccupato o altro a Tricarico","No, mai",,,,,,,1,5,2,1,5,1,Tranquilla,Noiosa;Spenta;Divisa,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Un paese attivo ,dinamico ,coeso ",Se non dovessero cambiare le cose un paese fantasma,Di fare tutto quello che è nelle loro possibilità per farci uscire da questo pantano in cui siamo caduti tanti anni fa
2023/05/08 9:54:51 PM CET,Uomo,36-45,"Si, ogni giorno",Si,Lavoro altrove,"Si, ci sto pensando",,,,,,,5,1,1,1,1,1,Morente,Disordinata;Spenta;Divisa,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Coesa, vivace, propositiva",Deserta,Concretezza ed evitate di anteporre i vostri interessi personali a quelli del paese
2023/05/08 10:02:33 PM CET,Donna,26-35,"Si, ogni giorno",Si,Lavoro altrove,"No, mai",,,,,,,5,5,5,1,4,1,Tranquilla,Sporca;Spenta;Divisa,"Turismo/Cultura;Servizi pubblici (Ville, giardini, ecc...)","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"Pulita,attiva ,attrattiva per i bambini,prima di invidia e gelosia. ",Al centro della Basilicata ,Non lasciatevi corrompere dai vecchi politici di paese 
2023/05/08 10:14:46 PM CET,Donna,26-35,"Si, ogni giorno",Si,Lavoro altrove,"Si, ci ho pensato ma ho cambiato idea",,,,,,,3,4,4,1,5,2,Tranquilla,Noiosa;Spenta,"Sviluppo di attività produttive;Servizi pubblici (Ville, giardini, ecc...)",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Attiva,Spopolata,Fare bene insieme
2023/05/08 11:08:10 PM CET,Uomo,26-35,"Si, ogni giorno",No,Lavoro a Tricarico,"No, mai",,,,,,,5,4,5,2,3,5,Tranquilla;Mammà,Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"Una cittadina completa di tutte le infrastrutture come tanto tempo fa (macello, cantina, salumificio e perché no night club ecc ecc)",Deserta,Aggiustate le strade porca M……
2023/05/08 11:52:46 PM CET,Uomo,19-25,"No, ma torno spesso",,,,Studio fuori Regione,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,5,3,5,1,3,1,Tranquilla;Divertente,Sporca;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Coesa e punto di riferimento della regione ,Spero meglio di adesso,"LAVORARE CON SINCERITÀ E DEDIZIONE PER IL BENE DEL PAESE. 
Consiglio di valorizzare al meglio il patrimonio culturale del paese e investire su nuovi progetti che possano creare lavoro e servizi nel territorio."
2023/05/09 5:27:30 AM CET,Uomo,46-55,"Si, ogni giorno",No,Lavoro altrove,"No, mai",,,,,,,5,4,5,1,3,2,Tranquilla;Ordinata,Sporca;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Attiva ed attrattiva,"Se non ci sarà una vera svolta, la vedo sempre più desolata ed in declino ",Siate lungimiranti e distanti dalle azioni di ripicca e vendetta verso ex amministratori e soprattutto verso i sostenitori delle piste concorrenti....amate Tricarico e soprattutto i suoi cittadini.
2023/05/09 5:30:07 AM CET,Uomo,36-45,"Si, ogni giorno",Si,Lavoro altrove,"No, mai",,,,,,,5,5,5,3,5,5,Tranquilla,Disordinata;Spenta;Divisa,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,Operativa,Viva,Fare fare fare
2023/05/09 5:39:34 AM CET,Donna,36-45,"Si, ogni giorno",No,"Pensionato, disoccupato o altro a Tricarico","Si, ci sto pensando",,,,,,,3,4,3,2,1,2,Pulita;Tranquilla;Ordinata,"Noiosa;Spenta;Tricarico è un bel paese e ha delle potenzialità come i monumenti storici, il centro storico, insomma ha tanto da dire e da dare e viene sfruttato poco, bisognerebbe incentivare, invogliare verso il turismo che di conseguenza porterebbe economia al nostro Tricarico. Però prima bisognerebbe tenere pulite le strade del centro storico da escrementi di cani e gatti che per un turista non è un bel vedere, con il rischio che oltre al cattivo odore soprattutto con il caldo si sente ancora di piu, e si potrebbero sporcare le scarpe. Investire per guadagnarci.","Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"La vorrei con più lavoro e senza favoritismi, con più servizi per i cittadini, vorrei che ci fosse l'ospedale come era decenni e più fa, la vorrei con strade sistemate a dovere in ogni parte di Tricarico compresa la strada per andare alla torretta della saracena, la vorrei più viva e attiva che richiamasse  la gente di fuori dei paesi limitrofi ma anche di turismo che gioverebbe economia e lavoro agli attuali esercenti e di conseguenza a tutta la comunità. La vorrei l'opposto di come è oggi e con qualcosa in più.","Bella domanda! Spero che le cose cambino in meglio per tutta la comunità tricaricese, ma di questo passo tra dieci anni è meglio che non immagino. Vorrei la Tricarico piena di gente, di turisti che vengono ad ammirare la nostra storia, vorrei più occupazione, più attrattive.","Il consiglio che sento di darvi è di competere tra voi senza punzecchiarvi a vicenda, senza farvi la ""guerra"", di essere avversari nel modo giusto e non come state facendo, mi riferisco ad Alternativa in comune che hanno un atteggiamento nemico nei confronti degli avversari e onestamente siamo stanchi di vivere quest'atmosfera pesante tra voi candidati sindaci. Fate finta di giocare a calcio ma in maniera pulita e che vinca il migliore! Viva Tricarico"
2023/05/09 6:46:07 AM CET,Uomo,26-35,"No, ma torno spesso",,,,Lavoro in Basilicata,No,"No, quello che faccio non posso farlo a Tricarico o in Basilicata",,,,4,4,3,2,5,3,Tranquilla;Viva;Divertente,Sporca;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Intrattenimento",Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Agevolare gli spostamenti verso lavoro e attrattive nei paesi limitrofi,Valorizzare il patrimonio culturale e le tradizioni, , , 
2023/05/09 8:31:20 AM CET,Donna,19-25,"Si, ogni giorno",No,Studio altrove,"Si, ci sto pensando",,,,,,,3,1,3,1,3,1,Tranquilla,Sporca;Noiosa;Spenta,"Infrastrutture (trasporti, strade e collegamenti);Sviluppo di attività produttive","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,viva e ben organizzata !,di questo passo deserta ,più attività per i giovani 
2023/05/09 9:30:30 AM CET,Uomo,> 65,"No, da anni vivo altrove",,,,,,,Potrei ma non voglio farlo,Pubblico (se studi qualcosa per cui hai possibili sbocchi per questo ambito),Lavoro,1,1,1,1,5,1,Tranquilla,Spenta,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"una città che tornasse ai vecchi splendori, vita, lavoro, cultura, socializzazione, riacquistare il senso di appartenenza, trattenere i giovani, più scuola, più cultura, una società coesa e unita","se nulla si muove una città perduta, chiusa, vuota ","inserire il concetto di democrazia che è partecipazione, recuperare tutto il lavoro perduto in questi anni di assenza; non isolarsi, ma creare rete con i comuni viciniori, fare rete con le numerose associazioni o singoli individui che lavorano fuori tricarico e che hanno esperienza nel campo lavorativo, sociale e culturale. fare la citta del sorriso e della bellezza, recuperare le tradizioni e dare impulso al turismo culturale che è una fonte di reddito.recupero della campagna, recupero di calle, recupero della storia. stimoli e domande di cultura e di rinnovamento"
2023/05/09 9:59:36 AM CET,Uomo,26-35,"Si, ogni giorno",No,Lavoro a Tricarico,"No, mai",,,,,,,5,4,4,2,2,3,Tranquilla;Male organizzata,Disordinata;Spenta;Divisa,Agricoltura;Sviluppo di attività produttive,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Attiva,"Considerando le ormai frequenti vicissitudini politiche, la vedo proprio male","Ad uno consiglio la tinta anche se il brizzolato attira, all'altro consiglio di chiudere la bocca"
2023/05/09 1:14:13 PM CET,Donna,36-45,"Si, ogni giorno",Si,Lavoro a Tricarico,"No, mai",,,,,,,4,5,5,1,4,3,Tranquilla,Disordinata;Spenta;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura",Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"Una piccola Napoli, utopia?!",Mi auguro non con mille abitanti in meno,Avere come unici obiettivi: il progresso dell'intero paese e l'attenzione alla parte di tessuto sociale maggiormente esposta a rischio emarginazione
2023/05/09 3:37:35 PM CET,Uomo,26-35,"Si, ogni giorno",No,Lavoro a Tricarico,"No, mai",,,,,,,2,3,4,1,1,1,Tranquilla,Spenta;Incivile    -  3° scelta Trasandata,Sviluppo di attività produttive;Intrattenimento,Patrimonio culturale seppur limitato - Prodotti alimentari,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Ordinata, curata (sia dall'amministrazione che dai cittadini che spesso non curano nemmeno la facciata della loro casa), percorribile facilmente (senza fossi, avvallamenti, barriere architettoniche, parcheggi selvaggi, automobilisti che ti tagliano la strada, che sfrecciano e che usano il telefono alla guida). Attiva a livello lavorativo tramite nuove attività produttive e di servizi con sguardo al futuro, senza pensare sempre e solo all'agricoltura (visione miope). Attiva a livello culturale e di intrattenimento, tramite nuovi eventi di livello ed eventi che possano far divertire giovani e non tramite punti di aggregazione che non siano i soliti pub. Una Tricarico meglio collegata a Potenza e Matera (i collegamenti interni fanno schifo) e che possa offrire un posto tranquillo a nuovi lavoratori pendolari che vorranno scegliere la vita di paese a quella di città.",Deserta e ancora più incivile.,"Sfruttate bene i fondi e fate lavorare tutti, non scegliete solo i progettisti amici, le aziende amiche e così via perché Tricarico è di tutti e la ricchezza generata da questi fondi deve essere distribuita il più possibile. Create centri di aggregazione, create eventi che facciano uscire le persone, create le basi per nuove attività produttive e per favore cancellate dalla testa quella brutta convinzione che Tricarico non abbia bisogno di un attrattore turistico! Perché se non fosse per il FAI e per i nostri concittadini che ritornano durante le vacanze, Tricarico non se la filerebbe nessuno! Smettiamola di credere che Tricarico sia Milano! Quindi per favore, investite sugli attrattori turistici!!"
2023/05/09 4:35:55 PM CET,Uomo,26-35,"Si, ogni giorno",No,"Pensionato, disoccupato o altro a Tricarico","Si, ci sto pensando",,,,,,,4,5,4,1,4,1,Tranquilla;Viva,Sporca;Disordinata;Divisa,"Infrastrutture (trasporti, strade e collegamenti);Turismo/Cultura","Cultura e Tradizioni;Comunità (relazioni sociali, stile di vita, ...)",Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,Esattamente il contrario di com'è ora,"Se si continua in questa direzione, senza alcun cambiamento, senza collaborazione: ""Na rodd r pret""","Cercare un dialogo, costruttivo."
2023/05/09 6:34:32 PM CET,Uomo,19-25,"Si, ogni giorno",No,Studio a Tricarico,"No, mai",,,,,,,5,5,5,3,5,3,Tranquilla,Spenta;Divisa,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Attirare altra gente a Tricarico,Creare lavoro e attrattive a Tricarico,Innovare e spingere per la creazione di nuove attività e progetti,"Credo la mancanza di lavoro  sia il principale dei problemi, la maggior parte delle cose che non vanno anche se indirettamente ne sono conseguenza.","Visto che San Pancrazio si é offeso e sembrerebbe non volerci concedere una grazia, spero in San Rocco.","Non é una priorità, ma qual ora ci fossero  le condizioni, si potrebbe pensare di attivare il servizio civile presso il Comune. Anche se soltanto per un anno, darebbe la possibilità a qualche altro giovane di svolgere un lavoretto, fare una nuova esperienza e allo stesso tempo consentirebbe di avvicinarsi alla macchina amministrativa."
2023/05/09 6:54:30 PM CET,Donna,46-55,"No, ma torno spesso",,,,Lavoro fuori Regione,Si,"Si, faccio un lavoro che potrei fare anche a Tricarico o comunque in Basilicata",,,,5,5,3,3,5,3,Tranquilla;,Sporca;Spenta;Divisa,Sviluppo di attività produttive;Turismo/Cultura,Cultura e Tradizioni;Bellezze naturali,Evitare che i tricaricesi lascino Tricarico,Creare lavoro e attrattive a Tricarico,Valorizzare il patrimonio culturale e le tradizioni,"Viva,ricca di persone coese al bene pubblico ",Con il paese vecchio vivo e ricco di locali e turismo,"Rendere visitabile i monumenti ad orari,e liberare il Gesù dalle palazzine ➕ visibilità e restauro /spostamento"
